params: 341M total / 99M active | mode=joint lambda_pred=0.0
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
step  3260 | lm 6.070 | pred 2.866 | 5064 tok/s
step  3280 | lm 5.851 | pred 2.869 | 5065 tok/s
step  3300 | lm 5.928 | pred 2.866 | 5065 tok/s
step  3320 | lm 5.467 | pred 2.868 | 5065 tok/s
step  3340 | lm 6.122 | pred 2.869 | 5066 tok/s
step  3360 | lm 5.812 | pred 2.868 | 5066 tok/s
step  3380 | lm 6.101 | pred 2.865 | 5066 tok/s
step  3400 | lm 5.892 | pred 2.867 | 5066 tok/s
step  3420 | lm 5.917 | pred 2.861 | 5067 tok/s
step  3440 | lm 6.242 | pred 2.867 | 5067 tok/s
step  3460 | lm 5.648 | pred 2.869 | 5067 tok/s
step  3480 | lm 6.387 | pred 2.866 | 5068 tok/s
  eval step 3500: lm 5.945 pred 2.867 hit@k [h1: 0.121 | h2: 0.126 | h4: 0.122] | ent 2.295 persist 0.132 util_max 0.110
step  3500 | lm 5.839 | pred 2.865 | 5059 tok/s
step  3520 | lm 5.754 | pred 2.866 | 5060 tok/s
step  3540 | lm 5.647 | pred 2.867 | 5060 tok/s
step  3560 | lm 5.625 | pred 2.869 | 5061 tok/s
step  3580 | lm 6.008 | pred 2.867 | 5061 tok/s
step  3600 | lm 5.872 | pred 2.869 | 5061 tok/s
step  3620 | lm 5.982 | pred 2.869 | 5061 tok/s
step  3640 | lm 5.978 | pred 2.867 | 5062 tok/s
step  3660 | lm 6.006 | pred 2.867 | 5062 tok/s
step  3680 | lm 5.561 | pred 2.869 | 5063 tok/s
step  3700 | lm 6.106 | pred 2.867 | 5063 tok/s
step  3720 | lm 5.853 | pred 2.867 | 5063 tok/s
step  3740 | lm 6.150 | pred 2.862 | 5063 tok/s
step  3760 | lm 5.787 | pred 2.867 | 5064 tok/s
step  3780 | lm 6.430 | pred 2.865 | 5064 tok/s
