params: 94M total / 56M active | mode=joint lambda_pred=0.0
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
step  3100 | lm 5.705 | pred 2.134 | 19389 tok/s
step  3120 | lm 6.020 | pred 2.134 | 19392 tok/s
step  3140 | lm 6.477 | pred 2.131 | 19394 tok/s
step  3160 | lm 6.980 | pred 2.133 | 19397 tok/s
step  3180 | lm 6.085 | pred 2.133 | 19399 tok/s
step  3200 | lm 5.884 | pred 2.134 | 19401 tok/s
step  3220 | lm 6.128 | pred 2.131 | 19403 tok/s
step  3240 | lm 6.167 | pred 2.136 | 19406 tok/s
step  3260 | lm 5.754 | pred 2.134 | 19408 tok/s
step  3280 | lm 6.077 | pred 2.132 | 19410 tok/s
step  3300 | lm 5.984 | pred 2.132 | 19413 tok/s
step  3320 | lm 6.082 | pred 2.135 | 19415 tok/s
step  3340 | lm 6.473 | pred 2.133 | 19416 tok/s
step  3360 | lm 6.002 | pred 2.133 | 19418 tok/s
step  3380 | lm 6.253 | pred 2.135 | 19421 tok/s
step  3400 | lm 5.968 | pred 2.134 | 19423 tok/s
step  3420 | lm 6.053 | pred 2.133 | 19425 tok/s
step  3440 | lm 6.384 | pred 2.130 | 19426 tok/s
step  3460 | lm 6.303 | pred 2.134 | 19428 tok/s
step  3480 | lm 6.113 | pred 2.132 | 19430 tok/s
  eval step 3500: lm 5.906 pred 2.132 hit@k [h1: 0.256 | h2: 0.260 | h4: 0.249]
step  3500 | lm 5.995 | pred 2.133 | 19412 tok/s
step  3520 | lm 5.902 | pred 2.131 | 19414 tok/s
step  3540 | lm 5.502 | pred 2.134 | 19416 tok/s
step  3560 | lm 6.060 | pred 2.132 | 19419 tok/s
step  3580 | lm 6.020 | pred 2.135 | 19421 tok/s
step  3600 | lm 6.123 | pred 2.133 | 19423 tok/s
step  3620 | lm 6.243 | pred 2.133 | 19425 tok/s
step  3640 | lm 6.684 | pred 2.132 | 19427 tok/s
step  3660 | lm 6.247 | pred 2.130 | 19429 tok/s
step  3680 | lm 5.822 | pred 2.132 | 19431 tok/s
step  3700 | lm 6.118 | pred 2.134 | 19433 tok/s
step  3720 | lm 5.972 | pred 2.130 | 19434 tok/s
step  3740 | lm 6.109 | pred 2.129 | 19435 tok/s
step  3760 | lm 5.774 | pred 2.134 | 19437 tok/s
step  3780 | lm 6.148 | pred 2.130 | 19439 tok/s
step  3800 | lm 5.956 | pred 2.131 | 19441 tok/s
step  3820 | lm 6.128 | pred 2.133 | 19443 tok/s
step  3840 | lm 6.261 | pred 2.129 | 19445 tok/s
step  3860 | lm 5.893 | pred 2.133 | 19446 tok/s
step  3880 | lm 6.093 | pred 2.130 | 19448 tok/s
step  3900 | lm 5.949 | pred 2.132 | 19450 tok/s
step  3920 | lm 6.078 | pred 2.131 | 19451 tok/s
step  3940 | lm 5.657 | pred 2.133 | 19453 tok/s
step  3960 | lm 6.154 | pred 2.130 | 19455 tok/s
step  3980 | lm 6.566 | pred 2.130 | 19456 tok/s
  eval step 4000: lm 6.056 pred 2.130 hit@k [h1: 0.257 | h2: 0.258 | h4: 0.253]
step  4000 | lm 6.132 | pred 2.131 | 19439 tok/s
step  4020 | lm 6.001 | pred 2.134 | 19440 tok/s
step  4040 | lm 5.922 | pred 2.131 | 19442 tok/s
step  4060 | lm 7.116 | pred 2.131 | 19443 tok/s
step  4080 | lm 5.729 | pred 2.132 | 19445 tok/s
step  4100 | lm 5.742 | pred 2.133 | 19447 tok/s
step  4120 | lm 5.589 | pred 2.136 | 19449 tok/s
step  4140 | lm 5.695 | pred 2.130 | 19451 tok/s
step  4160 | lm 5.804 | pred 2.131 | 19453 tok/s
step  4180 | lm 5.811 | pred 2.132 | 19455 tok/s
step  4200 | lm 6.162 | pred 2.132 | 19456 tok/s
step  4220 | lm 6.141 | pred 2.131 | 19457 tok/s
step  4240 | lm 5.938 | pred 2.130 | 19458 tok/s
step  4260 | lm 5.833 | pred 2.132 | 19460 tok/s
step  4280 | lm 6.072 | pred 2.133 | 19462 tok/s
step  4300 | lm 6.066 | pred 2.133 | 19461 tok/s
step  4320 | lm 6.169 | pred 2.133 | 19461 tok/s
step  4340 | lm 6.043 | pred 2.131 | 19462 tok/s
step  4360 | lm 6.125 | pred 2.132 | 19464 tok/s
step  4380 | lm 5.978 | pred 2.133 | 19464 tok/s
step  4400 | lm 6.357 | pred 2.132 | 19465 tok/s
step  4420 | lm 5.858 | pred 2.131 | 19465 tok/s
step  4440 | lm 6.255 | pred 2.132 | 19466 tok/s
step  4460 | lm 5.766 | pred 2.131 | 19467 tok/s
step  4480 | lm 5.841 | pred 2.134 | 19467 tok/s
  eval step 4500: lm 5.784 pred 2.131 hit@k [h1: 0.257 | h2: 0.262 | h4: 0.242]
step  4500 | lm 5.857 | pred 2.133 | 19449 tok/s
step  4520 | lm 5.811 | pred 2.131 | 19450 tok/s
