Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 3 files:   0%|          | 0/3 [00:00<?, ?it/s]Fetching 3 files: 100%|██████████| 3/3 [00:00<00:00, 26546.23it/s]
Loading weights:   0%|          | 0/179 [00:00<?, ?it/s]Loading weights:   3%|▎         | 5/179 [00:00<00:04, 38.77it/s]Loading weights:  15%|█▍        | 26/179 [00:00<00:04, 37.98it/s]Loading weights:  17%|█▋        | 30/179 [00:00<00:04, 35.83it/s]Loading weights:  27%|██▋       | 49/179 [00:01<00:03, 35.95it/s]Loading weights:  33%|███▎      | 59/179 [00:01<00:03, 37.78it/s]Loading weights:  40%|███▉      | 71/179 [00:01<00:02, 48.22it/s]Loading weights:  52%|█████▏    | 93/179 [00:01<00:01, 70.88it/s]Loading weights:  58%|█████▊    | 104/179 [00:02<00:01, 59.52it/s]Loading weights:  70%|███████   | 126/179 [00:02<00:00, 79.84it/s]Loading weights:  83%|████████▎ | 148/179 [00:02<00:00, 72.97it/s]Loading weights:  95%|█████████▍| 170/179 [00:02<00:00, 91.64it/s]Loading weights: 100%|██████████| 179/179 [00:02<00:00, 65.58it/s]
mode=joint lambda_pred=0.0 horizons=(1, 2, 4) | trainable 11.7M / 7.05B
  eval step 2000: lm 4.404 pred 4.275 hit@k [h1: 0.124 | h2: 0.123 | h4: 0.123] | ent 3.849 persist 0.126 util_max 0.061
step  2000 | lm 4.512 | pred 4.277 | 1225 tok/s
step  2020 | lm 4.519 | pred 4.278 | 1225 tok/s
step  2040 | lm 4.282 | pred 4.277 | 1226 tok/s
step  2060 | lm 4.507 | pred 4.273 | 1226 tok/s
step  2080 | lm 4.796 | pred 4.277 | 1226 tok/s
step  2100 | lm 4.474 | pred 4.273 | 1226 tok/s
step  2120 | lm 5.245 | pred 4.272 | 1226 tok/s
step  2140 | lm 4.543 | pred 4.278 | 1226 tok/s
step  2160 | lm 4.601 | pred 4.275 | 1226 tok/s
step  2180 | lm 4.554 | pred 4.277 | 1226 tok/s
step  2200 | lm 4.459 | pred 4.274 | 1227 tok/s
step  2220 | lm 4.160 | pred 4.272 | 1227 tok/s
step  2240 | lm 3.991 | pred 4.280 | 1227 tok/s
step  2260 | lm 4.497 | pred 4.287 | 1227 tok/s
step  2280 | lm 4.687 | pred 4.277 | 1227 tok/s
step  2300 | lm 4.856 | pred 4.273 | 1227 tok/s
step  2320 | lm 5.025 | pred 4.272 | 1227 tok/s
step  2340 | lm 4.610 | pred 4.271 | 1227 tok/s
step  2360 | lm 4.399 | pred 4.279 | 1228 tok/s
step  2380 | lm 4.445 | pred 4.273 | 1228 tok/s
step  2400 | lm 4.124 | pred 4.276 | 1228 tok/s
step  2420 | lm 4.301 | pred 4.273 | 1228 tok/s
step  2440 | lm 4.302 | pred 4.276 | 1228 tok/s
step  2460 | lm 4.152 | pred 4.275 | 1228 tok/s
step  2480 | lm 4.966 | pred 4.274 | 1228 tok/s
step  2500 | lm 4.053 | pred 4.281 | 1228 tok/s
step  2520 | lm 4.505 | pred 4.277 | 1228 tok/s
step  2540 | lm 4.568 | pred 4.273 | 1228 tok/s
step  2560 | lm 4.373 | pred 4.275 | 1228 tok/s
step  2580 | lm 4.573 | pred 4.273 | 1229 tok/s
step  2600 | lm 4.819 | pred 4.278 | 1229 tok/s
step  2620 | lm 4.387 | pred 4.275 | 1229 tok/s
step  2640 | lm 4.405 | pred 4.275 | 1229 tok/s
step  2660 | lm 5.173 | pred 4.280 | 1229 tok/s
step  2680 | lm 5.144 | pred 4.271 | 1229 tok/s
step  2700 | lm 4.222 | pred 4.278 | 1229 tok/s
step  2720 | lm 4.480 | pred 4.280 | 1229 tok/s
step  2740 | lm 4.487 | pred 4.277 | 1229 tok/s
step  2760 | lm 4.466 | pred 4.269 | 1229 tok/s
step  2780 | lm 4.734 | pred 4.276 | 1229 tok/s
step  2800 | lm 4.538 | pred 4.279 | 1230 tok/s
step  2820 | lm 4.608 | pred 4.275 | 1230 tok/s
step  2840 | lm 4.277 | pred 4.274 | 1230 tok/s
step  2860 | lm 4.601 | pred 4.274 | 1230 tok/s
step  2880 | lm 4.855 | pred 4.277 | 1230 tok/s
step  2900 | lm 4.559 | pred 4.276 | 1230 tok/s
step  2920 | lm 4.311 | pred 4.276 | 1230 tok/s
step  2940 | lm 4.734 | pred 4.274 | 1230 tok/s
step  2960 | lm 4.333 | pred 4.275 | 1230 tok/s
step  2980 | lm 4.693 | pred 4.276 | 1230 tok/s
  eval step 3000: lm 4.359 pred 4.276 hit@k [h1: 0.124 | h2: 0.123 | h4: 0.123] | ent 3.846 persist 0.125 util_max 0.060
step  3000 | lm 5.075 | pred 4.275 | 1227 tok/s
step  3020 | lm 4.131 | pred 4.273 | 1227 tok/s
step  3040 | lm 4.811 | pred 4.271 | 1227 tok/s
step  3060 | lm 4.064 | pred 4.274 | 1227 tok/s
step  3080 | lm 4.369 | pred 4.272 | 1227 tok/s
step  3100 | lm 4.581 | pred 4.277 | 1227 tok/s
step  3120 | lm 4.548 | pred 4.275 | 1227 tok/s
step  3140 | lm 4.920 | pred 4.278 | 1227 tok/s
step  3160 | lm 4.253 | pred 4.274 | 1227 tok/s
step  3180 | lm 4.529 | pred 4.270 | 1227 tok/s
step  3200 | lm 4.281 | pred 4.276 | 1227 tok/s
step  3220 | lm 4.897 | pred 4.272 | 1227 tok/s
step  3240 | lm 4.773 | pred 4.268 | 1227 tok/s
step  3260 | lm 4.894 | pred 4.274 | 1228 tok/s
step  3280 | lm 4.475 | pred 4.270 | 1228 tok/s
step  3300 | lm 4.807 | pred 4.274 | 1228 tok/s
step  3320 | lm 4.660 | pred 4.275 | 1228 tok/s
step  3340 | lm 4.452 | pred 4.273 | 1228 tok/s
step  3360 | lm 4.792 | pred 4.279 | 1228 tok/s
step  3380 | lm 4.342 | pred 4.279 | 1228 tok/s
step  3400 | lm 4.191 | pred 4.279 | 1228 tok/s
step  3420 | lm 4.038 | pred 4.277 | 1228 tok/s
step  3440 | lm 4.537 | pred 4.278 | 1228 tok/s
step  3460 | lm 4.689 | pred 4.275 | 1228 tok/s
step  3480 | lm 4.500 | pred 4.277 | 1228 tok/s
step  3500 | lm 4.605 | pred 4.274 | 1228 tok/s
step  3520 | lm 4.734 | pred 4.282 | 1228 tok/s
step  3540 | lm 4.249 | pred 4.273 | 1228 tok/s
step  3560 | lm 4.965 | pred 4.271 | 1228 tok/s
step  3580 | lm 4.177 | pred 4.271 | 1228 tok/s
