params: 94M total / 56M active | mode=joint lambda_pred=0.0
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
step  4000 | lm 5.916 | pred 2.138 | 19689 tok/s
step  4020 | lm 7.109 | pred 2.140 | 19691 tok/s
step  4040 | lm 5.737 | pred 2.136 | 19693 tok/s
step  4060 | lm 5.741 | pred 2.137 | 19695 tok/s
step  4080 | lm 5.590 | pred 2.138 | 19697 tok/s
step  4100 | lm 5.700 | pred 2.137 | 19699 tok/s
step  4120 | lm 5.809 | pred 2.134 | 19701 tok/s
step  4140 | lm 5.833 | pred 2.139 | 19703 tok/s
step  4160 | lm 6.167 | pred 2.142 | 19705 tok/s
step  4180 | lm 6.151 | pred 2.137 | 19707 tok/s
step  4200 | lm 5.939 | pred 2.133 | 19710 tok/s
step  4220 | lm 5.843 | pred 2.138 | 19712 tok/s
step  4240 | lm 6.082 | pred 2.138 | 19714 tok/s
  eval step 4250: lm 6.271 pred 2.138 hit@k [h1: 0.252]
step  4260 | lm 5.711 | pred 2.141 | 19699 tok/s
step  4280 | lm 5.829 | pred 2.136 | 19701 tok/s
step  4300 | lm 6.345 | pred 2.138 | 19703 tok/s
step  4320 | lm 5.755 | pred 2.137 | 19704 tok/s
step  4340 | lm 6.106 | pred 2.138 | 19706 tok/s
step  4360 | lm 6.269 | pred 2.136 | 19709 tok/s
step  4380 | lm 6.038 | pred 2.137 | 19711 tok/s
step  4400 | lm 6.045 | pred 2.135 | 19714 tok/s
step  4420 | lm 6.187 | pred 2.137 | 19715 tok/s
step  4440 | lm 6.655 | pred 2.134 | 19717 tok/s
step  4460 | lm 5.858 | pred 2.137 | 19720 tok/s
step  4480 | lm 5.827 | pred 2.140 | 19722 tok/s
  eval step 4500: lm 6.057 pred 2.138 hit@k [h1: 0.253]
step  4500 | lm 5.863 | pred 2.138 | 19707 tok/s
step  4520 | lm 5.888 | pred 2.136 | 19707 tok/s
step  4540 | lm 6.000 | pred 2.137 | 19709 tok/s
step  4560 | lm 5.934 | pred 2.136 | 19711 tok/s
step  4580 | lm 6.109 | pred 2.135 | 19713 tok/s
step  4600 | lm 5.920 | pred 2.140 | 19715 tok/s
step  4620 | lm 5.815 | pred 2.137 | 19714 tok/s
step  4640 | lm 5.884 | pred 2.138 | 19715 tok/s
step  4660 | lm 5.800 | pred 2.141 | 19716 tok/s
step  4680 | lm 5.520 | pred 2.135 | 19719 tok/s
step  4700 | lm 6.787 | pred 2.140 | 19721 tok/s
step  4720 | lm 6.083 | pred 2.139 | 19722 tok/s
step  4740 | lm 6.060 | pred 2.137 | 19724 tok/s
  eval step 4750: lm 6.041 pred 2.140 hit@k [h1: 0.250]
step  4760 | lm 5.878 | pred 2.137 | 19711 tok/s
step  4780 | lm 5.565 | pred 2.138 | 19713 tok/s
step  4800 | lm 5.921 | pred 2.133 | 19715 tok/s
step  4820 | lm 5.827 | pred 2.135 | 19716 tok/s
step  4840 | lm 5.257 | pred 2.137 | 19718 tok/s
step  4860 | lm 5.907 | pred 2.140 | 19720 tok/s
step  4880 | lm 5.979 | pred 2.140 | 19722 tok/s
step  4900 | lm 6.070 | pred 2.137 | 19724 tok/s
step  4920 | lm 5.750 | pred 2.135 | 19726 tok/s
step  4940 | lm 5.791 | pred 2.137 | 19728 tok/s
step  4960 | lm 5.841 | pred 2.132 | 19730 tok/s
step  4980 | lm 6.567 | pred 2.136 | 19732 tok/s
  eval step 5000: lm 6.131 pred 2.136 hit@k [h1: 0.254]
step  5000 | lm 5.597 | pred 2.136 | 19719 tok/s
step  5020 | lm 6.730 | pred 2.134 | 19721 tok/s
step  5040 | lm 5.519 | pred 2.136 | 19723 tok/s
step  5060 | lm 5.976 | pred 2.137 | 19725 tok/s
step  5080 | lm 5.973 | pred 2.139 | 19727 tok/s
step  5100 | lm 6.490 | pred 2.140 | 19728 tok/s
